year,gold_qty_kg,gold_fob_nzd,green_qty_kg,green_fob_nzd,red_qty_kg,red_fob_nzd,total_qty_kg,total_fob_nzd,all_codes_qty_kg,all_codes_fob_nzd,gold_fob_nzd_m,green_fob_nzd_m,red_fob_nzd_m,total_fob_nzd_m,vol_index
2015,0.0,0.0,119322887.0,500012336.0,329432523.0,918833916.0,0.0,0.0,0.0,46793716331.0,0.0,500.012336,918.833916,0.0,0.0
2016,0.0,0.0,175955973.0,770391956.0,339623132.0,913613231.0,0.0,0.0,0.0,46421163508.0,0.0,770.391956,913.613231,0.0,0.0
2017,0.0,0.0,193293930.0,886517898.0,257964018.0,752601577.0,0.0,0.0,0.0,51779255919.0,0.0,886.517898,752.601577,0.0,0.0
2018,0.0,0.0,235266729.0,1209836072.0,302463533.0,975465827.0,0.0,0.0,0.0,55222645670.0,0.0,1209.836072,975.465827,0.0,0.0
2019,0.0,0.0,263277958.0,1381934288.0,264145733.0,876677566.0,0.0,0.0,0.0,57826556924.0,0.0,1381.934288,876.677566,0.0,0.0
2020,0.0,0.0,309874962.0,1775274266.0,259808627.0,890174053.0,0.0,0.0,0.0,57058288296.0,0.0,1775.274266,890.174053,0.0,0.0
2021,0.0,0.0,352700557.0,1851885245.0,293132085.0,927388838.0,0.0,0.0,0.0,61488953794.0,0.0,1851.885245,927.388838,0.0,0.0
2022,0.0,0.0,361493531.0,1932355270.0,227079870.0,707517051.0,0.0,0.0,0.0,69657710717.0,0.0,1932.35527,707.517051,0.0,0.0
2023,0.0,0.0,328701806.0,1838480779.0,158134360.0,568179395.0,0.0,0.0,0.0,65915330976.0,0.0,1838.480779,568.179395,0.0,0.0
2024,0.0,0.0,461274783.0,2575967628.0,232141134.0,878264066.0,0.0,0.0,0.0,67658271133.0,0.0,2575.967628,878.264066,0.0,0.0
2025,0.0,0.0,560970386.0,3431928756.0,247452769.0,1015232709.0,14038.0,99787.0,0.0,76913603766.0,0.0,3431.928756,1015.232709,0.099787,1100.0
